name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Room.Board,Books,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,degree_length,out_of_state_tuition
Freed-Hardeman University,True,895,548,314,20,54,1174,50,3340,600,68,16.1,13,6078,62,Tennessee,4,21950.0
Fresno Pacific College,True,346,274,146,51,87,704,63,3670,630,59,10.5,14,8095,54,California,4,15804.0
Gannon University,True,2464,1908,678,24,57,2693,691,4280,500,47,13.3,18,7711,65,Pennsylvania,4,32136.0
Gardner Webb University,True,1110,930,332,18,36,1603,374,4270,500,65,15.2,12,5664,29,North Carolina,4,31220.0
Geneva College,True,668,534,237,19,39,1306,258,4820,500,67,20.1,26,6786,74,Pennsylvania,4,26730.0
Georgetown College,True,727,693,286,30,55,1063,48,3950,550,73,13.3,28,7508,55,Kentucky,4,38650.0
Gettysburg College,True,3596,2466,575,42,78,1944,46,4328,500,94,12.1,32,14720,83,Pennsylvania,4,54480.0
Goldey Beacom College,True,633,468,284,10,27,823,963,2985,531,25,27.6,4,6081,36,Delaware,4,24300.0
Gonzaga University,True,1886,1524,526,31,67,2523,296,4450,600,78,14.7,32,9553,69,Washington,4,43210.0
Goshen College,True,440,396,221,26,51,910,166,3730,600,51,9.9,46,10270,72,Indiana,4,33700.0
Goucher College,True,1151,813,248,40,64,850,80,6174,500,78,9.2,34,16623,77,Maryland,4,44300.0
Green Mountain College,True,780,628,198,7,20,545,42,2700,400,77,14.0,24,6475,76,Vermont,4,37002.0
Greensboro College,True,608,494,176,10,31,649,314,3770,550,64,13.0,31,7949,39,North Carolina,4,29140.0
Grinnell College,True,2039,1389,432,56,91,1333,30,4618,400,88,9.5,54,18979,83,Iowa,4,52392.0
Guilford College,True,1202,1054,326,18,44,1410,299,5160,450,78,15.6,30,9114,65,North Carolina,4,38250.0
Gustavus Adolphus College,True,1709,1385,634,36,72,2281,50,3600,400,79,12.5,58,9907,80,Minnesota,4,45400.0
Hamilton College,True,3140,1783,454,40,82,1646,24,5050,300,91,9.6,60,17761,91,New York,4,54620.0
Hamline University,True,1006,825,328,34,73,1362,102,4194,450,89,13.0,33,10296,65,Minnesota,4,41298.0
Hampden - Sydney College,True,817,644,307,20,40,945,1,4773,660,95,13.3,53,12263,69,Virginia,4,45746.0
Hardin-Simmons University,True,467,424,350,16,40,1365,334,2980,700,75,13.7,10,7054,38,Texas,4,28990.0
Hartwick College,True,2083,1725,430,22,49,1464,67,4780,500,75,12.3,32,11625,73,New York,4,45510.0
Harvey Mudd College,True,1377,572,178,95,100,654,5,6690,700,100,8.2,46,21569,100,California,4,56876.0
Hastings College,True,817,708,262,22,52,935,37,3272,500,57,13.0,17,7335,52,Nebraska,4,30050.0
Hillsdale College,True,920,745,347,35,66,1133,42,4700,400,80,12.0,31,12639,79,Michigan,4,27577.0
Hiram College,True,922,729,244,37,66,1000,275,4560,400,75,10.6,34,12165,79,Ohio,4,34300.0
Hofstra University,True,7428,5860,1349,25,63,6534,1350,5920,1000,81,13.9,10,10093,60,New York,4,46760.0
Hood College,True,699,565,176,36,64,710,399,6040,450,82,14.4,34,12434,72,Maryland,4,39492.0
Hope College,True,1712,1483,624,37,69,2505,208,4341,465,72,12.5,40,9284,72,Michigan,4,34010.0
Houghton College,True,949,786,302,30,70,1210,26,3550,500,85,15.0,24,8187,67,New York,4,32488.0
Huntingdon College,True,608,520,127,26,47,538,126,3920,500,63,11.4,9,7703,44,Alabama,4,27400.0
Huntington College,True,450,430,125,20,46,488,43,3920,300,76,11.8,25,9466,47,Tennessee,2,6635.0
Husson College,True,723,652,361,10,30,951,706,4000,350,36,22.0,4,4923,84,Kansas,2,26900.0
Illinois State University,False,8681,6695,2408,10,35,15701,1823,3403,537,77,21.0,16,5569,54,Illinois,4,26040.0
Illinois Wesleyan University,True,3050,1342,471,55,86,1818,23,4090,400,77,12.9,34,9605,83,Illinois,4,47636.0
Indiana State University,False,5659,4761,3147,10,31,8596,1949,3706,600,72,16.6,8,6996,40,Indiana,4,19836.0
Indiana University at Bloomington,False,16587,13243,5873,25,72,24763,2717,3990,600,77,21.3,24,8686,68,Indiana,4,35456.0
Indiana Wesleyan University,True,735,423,366,20,48,2448,707,3782,700,49,39.8,15,6562,34,Indiana,4,25980.0
Ithaca College,True,7259,5526,1368,23,52,5612,166,6192,634,58,11.5,25,9812,75,New York,4,43978.0
James Madison University,False,11223,5285,2082,32,72,9652,742,4544,500,77,17.9,29,5212,98,Virginia,4,28416.0
Johnson State College,False,833,669,279,3,13,1224,345,4690,500,80,14.4,15,6564,36,Pennsylvania,2,18641.0
Judson College,True,313,228,137,10,30,552,67,4554,500,34,10.6,30,7840,56,Alabama,4,18510.0
Kansas Wesleyan University,True,589,575,148,16,40,474,258,3250,500,63,12.4,14,6535,68,Kansas,4,29500.0
Kentucky Wesleyan College,True,584,497,175,20,49,662,121,4150,500,57,11.3,32,7058,62,Kentucky,4,26440.0
Keuka College,True,461,381,174,10,43,738,55,4550,600,55,13.3,43,7863,51,New York,4,32093.0
Knox College,True,1040,845,286,48,77,967,24,4062,400,88,12.7,33,13224,79,Illinois,4,46554.0
La Roche College,True,361,321,185,10,41,650,819,4782,600,57,14.2,14,7022,52,Pennsylvania,4,28564.0
La Salle University,True,2929,1834,622,20,56,2738,1662,5610,450,90,15.1,9,9084,84,Pennsylvania,4,30560.0
Lafayette College,True,4010,2402,572,36,59,2018,226,5740,600,93,10.5,38,15365,92,Pennsylvania,4,52880.0
Lawrence University,True,1243,947,324,50,77,1129,74,3891,525,76,10.1,57,13965,77,Wisconsin,4,47475.0
Le Moyne College,True,1470,1199,425,21,76,1820,558,4840,400,89,13.3,28,8118,94,New York,4,34625.0
Lebanon Valley College,True,1386,1060,320,28,56,965,502,4755,400,84,12.3,30,8196,85,Pennsylvania,4,43650.0
Lehigh University,True,6397,4304,1092,40,84,4298,132,5580,750,96,12.5,43,14665,91,Pennsylvania,4,52930.0
Lesley College,True,244,198,82,12,33,1134,336,5300,550,71,27.8,18,8694,58,Texas,2,5313.0
LeTourneau University,True,477,417,204,29,54,1532,77,4240,600,58,20.8,23,6863,56,Texas,4,30210.0
Lincoln Memorial University,True,787,562,363,21,55,925,605,2890,600,67,14.6,35,5177,53,Tennessee,4,22010.0
Livingstone College,True,900,473,217,22,47,621,11,3400,800,53,10.4,16,9268,92,North Carolina,4,18297.0
Lock Haven University of Pennsylvania,False,3570,2215,651,17,41,3390,325,3620,225,47,16.1,14,6374,63,Pennsylvania,4,20452.0
Louisiana College,True,2013,1053,212,33,61,912,158,3036,500,64,10.5,11,7547,59,Louisiana,4,17000.0
Louisiana State University at Baton Rouge,False,5996,4993,3079,29,57,16269,3757,2980,600,83,15.9,11,6741,37,Pennsylvania,4,21886.0
Louisiana Tech University,False,2397,2144,1525,22,45,6720,1822,2325,618,66,20.0,13,4546,45,Louisiana,4,18558.0
Loyola Marymount University,True,3768,2662,753,42,64,3558,436,5916,545,84,14.2,10,11677,84,California,4,48522.0
Loyola University Chicago,True,3579,2959,868,25,55,5244,3417,5330,700,94,6.2,15,13009,65,Illinois,4,44048.0
Lycoming College,True,1286,1005,363,16,37,1363,74,4300,500,75,14.0,32,8024,72,Pennsylvania,4,40315.0
Lyndon State College,False,535,502,223,6,20,959,150,4640,500,48,12.6,15,7114,51,Vermont,4,25394.0
Macalester College,True,2939,1496,452,56,86,1723,113,4772,500,85,11.9,37,14213,77,Minnesota,4,54344.0
Manchester College,True,1004,802,239,23,63,909,51,3850,525,63,11.8,20,7940,64,Michigan,4,24218.0
Manhattan College,True,2432,1730,563,20,63,2578,254,6800,500,92,13.6,25,10062,79,New York,4,43480.0
Manhattanville College,True,962,750,212,21,54,830,150,6550,450,97,11.3,24,11291,70,New York,4,38820.0
Mankato State University,False,3073,2672,1547,9,29,9649,1792,2643,450,57,19.0,11,5801,68,Minnesota,4,16235.0
Marist College,True,4731,3171,830,12,31,3557,658,5925,550,74,17.6,34,8408,69,New York,4,39600.0
Marquette University,True,5152,4600,1685,36,71,7016,804,4760,600,86,13.5,25,9982,77,Wisconsin,4,41870.0
Marymount Manhattan College,True,695,535,239,21,30,988,785,7000,350,63,11.7,20,10622,68,New York,4,33778.0
Maryville College,True,1464,888,176,26,52,624,128,4208,500,80,11.1,43,8317,51,Tennessee,4,34880.0
Massachusetts Institute of Technology,True,6411,2140,1078,96,99,4481,28,5975,725,99,10.1,35,33541,94,Massachusetts,4,51832.0
McMurry University,True,578,411,187,25,50,880,477,3452,400,57,11.0,11,6383,32,Texas,4,27244.0
Mercer University,True,2286,1668,564,37,70,2943,1260,4081,400,93,9.2,15,8995,91,Georgia,4,36894.0
Mercyhurst College,True,1557,1074,397,15,40,1805,433,4050,425,45,16.7,29,7307,78,Mississippi,4,9900.0
Merrimack College,True,1981,1541,514,18,36,1927,1084,6200,375,73,16.8,22,8707,80,Massachusetts,4,41760.0
Mesa State College,False,1584,1456,891,6,18,3471,911,3798,540,48,28.8,12,3871,59,Ohio,2,8958.0
Messiah College,True,1742,1382,607,30,64,2258,53,5080,475,68,14.1,30,7762,89,Pennsylvania,4,35160.0
Miami University at Oxford,False,9239,7788,3290,35,39,13606,807,3960,500,81,17.6,20,7846,85,Ohio,4,34895.0
Michigan Technological University,False,2618,2288,1032,42,77,5524,414,3978,900,82,17.0,25,7473,65,Michigan,4,33726.0
Milligan College,True,610,461,189,26,52,685,49,3300,550,63,12.0,16,8128,64,Tennessee,4,33700.0
Millikin University,True,1444,1261,456,29,62,1788,95,4378,450,60,11.4,25,8149,75,Illinois,4,35102.0
Mississippi College,True,594,385,307,36,57,1695,721,2830,600,77,16.5,18,6170,61,Mississippi,4,18026.0
Mississippi University for Women,False,480,405,380,19,46,1673,1014,2217,600,49,15.8,8,5704,63,Mississippi,4,7040.0
Missouri Valley College,True,1310,983,316,5,35,1057,175,5050,400,35,17.4,16,4333,27,Missouri,4,20600.0
Monmouth College,True,2707,1881,478,14,34,1893,847,5290,530,70,14.2,15,9492,54,Illinois,4,37674.0
Montclair State University,False,5220,2128,865,19,53,6411,3186,4834,700,82,21.5,9,6717,58,New Jersey,4,20578.0
Moravian College,True,1232,955,303,23,58,1241,485,4730,550,86,15.2,28,9566,74,Pennsylvania,4,43636.0
Morehouse College,True,3708,1678,722,41,66,2852,153,5490,250,71,17.8,10,8122,83,Georgia,4,27574.0
Morningside College,True,586,533,239,16,36,950,228,3678,500,48,13.0,32,8111,56,Iowa,4,31530.0
Morris College,True,882,730,330,2,13,926,12,2550,850,53,18.6,34,6990,60,South Carolina,4,13886.0
Mount Holyoke College,True,1800,1314,526,47,79,1891,40,5700,750,79,9.0,51,18359,84,Massachusetts,4,49998.0
Mount Marty College,True,279,276,126,17,37,600,435,2980,500,45,11.7,38,5073,44,South Dakota,4,27276.0
Mount Mary College,True,235,217,121,12,32,931,487,3119,550,51,10.7,26,7016,78,Massachusetts,4,35720.0
Mount Mercy College,True,368,317,159,20,49,806,542,3555,500,44,11.3,30,6695,64,New York,4,19042.0
Mount Saint Mary College,True,1170,695,238,14,48,1170,429,4600,250,74,15.3,23,6898,88,New York,4,31118.0
Murray State University,False,2225,1910,1190,29,55,5968,955,3110,700,72,20.2,27,5972,52,Kentucky,4,24540.0
Nazareth College of Rochester,True,947,798,266,36,68,1274,471,5150,550,77,13.6,24,8797,61,New York,4,34280.0
North Carolina Wesleyan College,True,812,689,195,7,24,646,84,4230,600,77,12.7,11,10090,52,North Carolina,4,31000.0
North Park College,True,465,361,176,19,39,879,156,4345,400,76,13.1,24,10889,74,Texas,2,5220.0
Northern Illinois University,False,10706,7219,2397,12,37,14826,1979,3296,470,73,17.3,11,6086,56,Illinois,4,12262.0
Northwest Missouri State University,False,2729,2535,1257,8,29,4787,472,3136,250,62,21.7,23,5284,54,Missouri,4,16457.0
Norwich University,True,1743,1625,626,8,29,1862,382,5270,500,71,13.1,22,9209,63,Vermont,4,40016.0
Notre Dame College,True,379,324,107,15,37,500,311,4900,400,44,12.1,26,4948,33,Ohio,4,30160.0
Occidental College,True,2324,1319,370,52,81,1686,35,5140,558,91,10.5,30,16196,79,California,4,54686.0
Oglethorpe University,True,792,649,186,56,87,769,377,4340,600,91,13.1,27,8568,67,Georgia,4,38100.0
Ohio Northern University,True,2936,2342,669,35,62,2502,66,4080,600,73,14.5,31,9979,83,Ohio,4,32260.0
Oklahoma Baptist University,True,758,681,484,35,59,1707,705,3140,515,63,15.1,18,5511,50,Oklahoma,4,28258.0
Ouachita Baptist University,True,910,773,450,31,73,1310,61,2800,500,63,13.3,10,6413,65,Arkansas,4,26790.0
Our Lady of the Lake University,True,2308,1336,295,22,46,1202,942,3644,616,56,14.9,25,7114,37,Texas,4,28740.0
Pacific Lutheran University,True,1603,1392,504,31,68,2580,302,4488,600,78,11.0,23,9431,83,Washington,4,42066.0
Pacific Union College,True,940,668,385,20,48,1316,139,3825,630,48,12.3,12,9157,69,California,4,30060.0
Pepperdine University,True,3821,2037,680,86,96,2488,625,6770,500,95,11.6,13,16185,66,California,4,53932.0
Peru State College,False,701,501,458,10,40,959,457,2624,500,48,20.1,24,4870,44,Nebraska,4,7482.0
Phillips University,True,692,576,174,19,50,597,83,3860,600,58,11.6,19,8990,39,Virginia,4,39035.0
Piedmont College,True,663,562,127,20,40,641,63,3620,600,89,13.2,17,7309,31,Georgia,4,25920.0
Pitzer College,True,1133,630,220,37,73,750,30,5900,650,100,10.4,11,14820,73,California,4,54056.0
Prairie View A. and M. University,False,2405,2234,1061,10,22,4564,448,3500,598,55,19.4,1,5967,35,Texas,4,24843.0
Presbyterian College,True,1082,832,302,34,63,1133,30,3635,554,80,13.4,42,8354,85,South Carolina,4,38660.0
Princeton University,True,13218,2042,1153,90,98,4540,146,5910,675,91,8.4,54,28320,99,New Jersey,4,49330.0
Providence College,True,5139,3346,973,20,55,3717,1358,6200,450,66,18.4,35,8135,96,Rhode Island,4,50390.0
Purdue University at West Lafayette,False,21804,18744,5874,29,60,26213,4065,3990,570,86,18.2,15,8604,67,Indiana,4,28794.0
Queens College,True,516,392,154,32,62,630,549,4970,610,73,14.0,36,9315,58,New York,4,18608.0
Quincy University,True,1025,707,297,22,66,1070,72,4140,450,69,16.3,32,6880,80,Illinois,4,28462.0
Regis College,True,427,385,143,18,38,581,533,5800,450,81,10.3,37,11758,84,Massachusetts,4,41015.0
Rensselaer Polytechnic Institute,True,4996,4165,936,53,82,4291,16,5976,1230,94,15.4,21,15605,70,New York,4,53880.0
Roanoke College,True,2227,1790,437,27,54,1460,239,4425,450,85,13.0,26,9405,72,Virginia,4,44030.0
Rocky Mountain College,True,560,392,270,11,31,743,118,3362,600,56,11.3,27,6422,68,Montana,4,28512.0
Roger Williams University,True,3304,2804,679,10,20,2111,1489,6050,500,44,16.4,8,7957,61,Rhode Island,4,34522.0
Rollins College,True,1777,1151,382,31,55,1668,1052,5220,955,81,13.3,23,11561,90,Florida,4,49760.0
Sacred Heart University,True,2307,1896,509,19,51,1707,1889,5780,400,71,14.8,16,7120,82,Connecticut,4,41420.0
Saint Ambrose University,True,897,718,276,12,48,1345,390,4020,500,56,14.1,16,7444,70,Iowa,4,30894.0
Saint Anselm College,True,2095,1553,514,15,40,1873,94,5400,450,70,14.5,29,6719,97,New Hampshire,4,41200.0
Saint Cloud State University,False,3971,3306,1921,10,34,11493,2206,2625,350,70,18.9,10,4629,58,Minnesota,4,17146.0
Saint Francis College,True,1046,824,284,21,45,1223,451,5050,400,64,19.3,24,7344,69,New York,4,26188.0
Saint Mary's College,True,888,734,393,26,60,1433,27,4514,500,74,9.9,31,11165,98,Indiana,4,42220.0
Saint Michael's College,True,1910,1380,463,16,64,1715,106,5860,500,79,14.5,34,10190,84,Vermont,4,45375.0
Saint Olaf College,True,2248,1673,745,38,73,2888,105,3750,550,82,10.0,31,12502,83,Minnesota,4,47840.0
Saint Xavier University,True,785,647,295,15,65,1670,726,4624,600,87,13.7,15,8953,55,Illinois,4,33880.0
Santa Clara University,True,4019,2779,888,40,73,3891,128,5928,630,88,13.9,19,10872,100,California,4,51711.0
Sarah Lawrence College,True,1380,768,263,57,82,1000,105,6694,600,89,6.1,18,14779,83,New York,4,55900.0
Savannah Coll. of Art and Design,True,1109,688,386,20,65,1897,208,5000,1200,14,16.1,26,6874,55,Georgia,4,36630.0
Scripps College,True,855,632,139,60,83,569,7,7350,600,95,8.2,41,18372,73,California,4,55024.0
Seattle Pacific University,True,1183,1016,411,42,82,1922,704,4875,600,83,16.8,20,10368,66,Washington,4,42939.0
Seattle University,True,2115,1540,494,28,72,2993,347,4375,500,85,12.2,16,10175,89,Washington,4,44610.0
Simmons College,True,1003,782,295,23,53,1144,160,6950,500,74,8.9,33,14086,79,Massachusetts,4,40800.0
Simpson College,True,1016,872,300,27,57,1116,602,4980,550,66,15.8,36,7411,70,Iowa,4,39144.0
Skidmore College,True,4293,2728,591,25,62,2322,263,5970,500,87,12.7,29,14837,81,New York,4,54420.0
Southeastern Oklahoma State Univ.,False,818,700,447,20,50,2962,651,2619,450,55,19.6,9,4444,53,Oklahoma,4,15390.0
Southwest State University,False,1047,938,511,13,33,2091,546,2750,600,58,16.5,31,6591,51,Minnesota,4,8632.0
Southwestern Adventist College,True,321,318,172,11,27,620,280,3736,430,44,13.0,12,5309,36,Mississippi,4,6550.0
Spalding University,True,283,201,97,10,45,589,263,2800,600,50,10.6,40,6860,89,Kentucky,4,24500.0
Spelman College,True,3713,1237,443,47,83,1971,107,5565,660,73,12.5,18,9988,65,Georgia,4,29314.0
St. Bonaventure University,True,1489,1313,375,13,45,1688,131,4927,500,91,17.7,32,9828,78,New York,4,34301.0
St. Mary's College of California,True,2643,1611,465,36,80,2615,248,6354,630,88,16.1,17,9619,78,California,4,47280.0
St. Mary's College of Maryland,False,1340,695,285,42,73,1315,209,4730,675,84,11.6,23,10357,63,Maryland,4,30568.0
St. Mary's University of San Antonio,True,1243,1020,414,33,60,2149,418,3858,700,82,16.2,7,7651,72,Texas,4,30650.0
St. Norbert College,True,1334,1243,568,30,56,1946,95,4450,425,74,15.1,36,8595,88,Wisconsin,4,38129.0
St. Thomas Aquinas College,True,861,609,215,10,27,1117,815,5700,500,69,16.1,13,6534,67,New York,4,31950.0
Stephens College,True,450,405,194,17,34,614,388,5200,450,46,10.9,17,9995,59,Missouri,4,30950.0
Stevens Institute of Technology,True,1768,1249,380,51,93,1263,11,5680,450,89,19.0,33,12837,79,New Jersey,4,52202.0
SUNY College  at Brockport,False,7294,3564,904,7,34,5758,1363,4460,500,79,19.0,14,6632,49,New York,4,18192.0
SUNY College  at Oswego,False,8000,4556,1464,17,70,6943,869,4810,500,69,22.0,21,5280,63,New York,4,18220.0
SUNY College at Buffalo,False,5318,3515,1025,8,29,7626,2091,4040,550,71,18.7,12,7511,42,New York,4,17990.0
SUNY College at Cortland,False,7888,3519,1036,6,40,5011,346,4680,630,82,17.8,17,5563,53,New York,4,18338.0
SUNY College at Fredonia,False,4877,2798,814,13,48,4123,298,4420,620,82,16.3,10,6442,66,New York,4,18268.0
SUNY College at Geneseo,False,8598,4562,1143,56,93,5060,146,4170,600,79,19.1,25,5716,76,New York,4,18431.0
